#########################################################################
##--Author      JRM Annand   29th Apr 2003
##--Update      R Gregor...
##--Update      H.Bergaeuser
##            
##  Veto parameter File for BEAMTIME 2008_11_He3
##
## Veto Energy Calibrated by H. Berghaeuser FEB09
## 
#########################################################################
##-----------------------------------------------------------------------
## Total # Elements in array, Pulse-Height info? Time info? Position info?
## Info switch is off/on = 0/1
##      Total   Energy? Time?   Position?
#
Size:  384    1       1       1
RawHits:
#
# Now enter the information for each element....if the number of
# elements is specified as 10 above then there must be 10 element spec lines
# ADCs low,high define in MeV the range of a valid hit.
# ped is the zero-point offset channel and MeV/ch is the ADC conversionsion
# TDCs low, high define in ns the range of a valid hit.
# Off is the time-zero offset channel and ns/ch is the conversion gain.
# Pos 3-vector usually relates to the center of the front face of a crystal
# assuming origin at center of target, beam in z-direction
# with Bene's calib-files
#        ADC#  low  high ped  MeV/ch  TDC#  low/high Off ns/ch  Pos x,y,z (cm)
Element: 26001 0 9999.  87.1871	0.0122966    26301  -2000.0  2000.0 2961.1422  0.050   -5.196152    3.000000  147.500000
Element: 26002 0 9999.  85.3024	0.00907733    26302  -2000.0  2000.0 2958.3795  0.050  -10.392304    6.000000  147.500000
Element: 26003 0 9999.  85.1834	0.0145005    26303  -2000.0  2000.0 2852.6611  0.050  -10.392304    0.000000  147.500000
Element: 26004 0 9999.  85.3448	0.011523    26304  -2000.0  2000.0 2949.7220  0.050  -15.588456    9.000000  147.500000
Element: 26005 0 9999.  85.8153	0.0116654    26305  -2000.0  2000.0 2948.2659  0.050  -15.588456    3.000000  147.500000
Element: 26006 0 9999.  85.5478	0.0117822    26306  -2000.0  2000.0 2955.8684  0.050  -15.588456   -3.000000  147.500000
Element: 26007 0 9999.  84.9716	0.0115995    26307  -2000.0  2000.0 2941.6130  0.050  -20.784609   12.000000  147.500000
Element: 26008 0 9999.  84.7105	0.0116144    26308  -2000.0  2000.0 2937.3597  0.050  -20.784609    6.000000  147.500000
Element: 26009 0 9999.  84.9818	0.013633    26309  -2000.0  2000.0 2966.0171  0.050  -20.784609    0.000000  147.500000
Element: 26010 0 9999.  83.7683	0.013127    26310  -2000.0  2000.0 2943.6221  0.050  -20.784609   -6.000000  147.500000
Element: 26011 0 9999.  85.8727	0.0120727    26311  -2000.0  2000.0 2959.9750  0.050  -25.980761   15.000000  147.500000
Element: 26012 0 9999.  85.1367	0.00902635    26312  -2000.0  2000.0 2965.3668  0.050  -25.980761    9.000000  147.500000
Element: 26013 0 9999.  86.0938	0.0139314    26313  -2000.0  2000.0 2942.8954  0.050  -25.980761    3.000000  147.500000
Element: 26014 0 9999.  85.8233	0.00938398    26314  -2000.0  2000.0 2915.8923  0.050  -25.980761   -3.000000  147.500000
Element: 26015 0 9999.  85.6073	0.00943903    26315  -2000.0  2000.0 2954.6204  0.050  -25.980761   -9.000000  147.500000
Element: 26016 0 9999.  85.1919	0.00680889    26316  -2000.0  2000.0 2988.5337  0.050  -31.176912   18.000000  147.500000
Element: 26017 0 9999.  85.3892	0.0102754    26317  -2000.0  2000.0 2896.8220  0.050  -31.176912   12.000000  147.500000
Element: 26018 0 9999.  86.1738	0.0105385    26318  -2000.0  2000.0 2886.8682  0.050  -31.176912    6.000000  147.500000
Element: 26019 0 9999.  85.8162	0.0125844    26319  -2000.0  2000.0 2923.4324  0.050  -31.176912    0.000000  147.500000
Element: 26020 0 9999.  84.6946	0.013367    26320  -2000.0  2000.0 2894.5161  0.050  -31.176912   -6.000000  147.500000
Element: 26021 0 9999.  86.6273	0.0102511    26321  -2000.0  2000.0 2889.4531  0.050  -31.176912  -12.000000  147.500000
Element: 26022 0 9999.  86.2395	0.00946282    26322  -2000.0  2000.0 2887.7325  0.050  -36.373062   21.000000  147.500000
Element: 26023 0 9999.  86.4092	0.00970575    26323  -2000.0  2000.0 2889.9530  0.050  -36.373062   15.000000  147.500000
Element: 26024 0 9999.  86.5033	0.00894669    26324  -2000.0  2000.0 2818.8622  0.050  -36.373062    9.000000  147.500000
Element: 26025 0 9999.  84.8983	0.013347    26325  -2000.0  2000.0 2946.9215  0.050  -36.373062    3.000000  147.500000
Element: 26026 0 9999.  86.4433	0.00976051    26326  -2000.0  2000.0 2971.6916  0.050  -36.373062   -3.000000  147.500000
Element: 26027 0 9999.  85.9555	0.0116425    26327  -2000.0  2000.0 2937.6077  0.050  -36.373062   -9.000000  147.500000
Element: 26028 0 9999.  86.4397	0.0125509    26328  -2000.0  2000.0 2963.7246  0.050  -36.373062  -15.000000  147.500000
Element: 26029 0 9999.  85.8885	0.00852548    26329  -2000.0  2000.0 2918.0670  0.050  -41.569218   24.000000  147.500000
Element: 26030 0 9999.  86.2298	0.0119051    26330  -2000.0  2000.0 2945.0212  0.050  -41.569218   18.000000  147.500000
Element: 26031 0 9999.  85.692	0.0289665    26331  -2000.0  2000.0 2958.5634  0.050  -41.569218   12.000000  147.500000
Element: 26037 0 9999.  84.9145	0.018711    26337  -2000.0  2000.0 2813.8705  0.050  -41.569218    6.000000  147.500000
Element: 26033 0 9999.  85.6329	0.00772442    26333  -2000.0  2000.0 2954.4384  0.050  -41.569218    0.000000  147.500000
Element: 26034 0 9999.  85.6371	0.00809064    26334  -2000.0  2000.0 2911.5118  0.050  -41.569218   -6.000000  147.500000
Element: 26035 0 9999.  85.9607	0.00806937    26335  -2000.0  2000.0 2913.4413  0.050  -41.569218  -12.000000  147.500000
Element: 26036 0 9999.  86.1685	0.00829014    26336  -2000.0  2000.0 2926.5240  0.050  -41.569218  -18.000000  147.500000
Element: 26032 0 9999.  84.8684	0.00912493    26332  -2000.0  2000.0 2852.0983  0.050  -46.765369   27.000000  147.500000
Element: 26038 0 9999.  86.1568	0.0085776    26338  -2000.0  2000.0 2871.0139  0.050  -46.765369   21.000000  147.500000
Element: 26039 0 9999.  85.5979	0.00771841    26339  -2000.0  2000.0 2942.8284  0.050  -46.765369   15.000000  147.500000
Element: 26040 0 9999.  86.1953	0.00790041    26340  -2000.0  2000.0 2841.5144  0.050  -46.765369    9.000000  147.500000
Element: 26041 0 9999.  86.1796	0.00909784    26341  -2000.0  2000.0 2994.7473  0.050  -46.765369    3.000000  147.500000
Element: 27127 0 9999.  85.5818	0.0301412    27427  -2000.0  2000.0 2800.0479  0.050  -46.765369   -3.000000  147.500000
Element: 26043 0 9999.  85.6037	0.00773502    26343  -2000.0  2000.0 2971.7924  0.050  -46.765369   -9.000000  147.500000
Element: 26044 0 9999.  91.2495	0.00856699    26344  -2000.0  2000.0 2973.5239  0.050  -46.765369  -15.000000  147.500000
Element: 26045 0 9999.  85.79	0.00944419    26345  -2000.0  2000.0 2951.2804  0.050  -46.765369  -21.000000  147.500000
Element: 26046 0 9999.  85.5348	0.0071879    26346  -2000.0  2000.0 2924.5986  0.050  -51.961521   30.000000  147.500000
Element: 26047 0 9999.  85.8355	0.00754009    26347  -2000.0  2000.0 2972.2399  0.050  -51.961521   24.000000  147.500000
Element: 26048 0 9999.  86.2581	0.00972004    26348  -2000.0  2000.0 2969.5458  0.050  -51.961521   18.000000  147.500000
Element: 26049 0 9999.  85.9334	0.0074692    26349  -2000.0  2000.0 3009.2776  0.050  -51.961521   12.000000  147.500000
Element: 26050 0 9999.  86.449	0.0086997    26350  -2000.0  2000.0 2980.5063  0.050  -51.961521    6.000000  147.500000
Element: 26051 0 9999.  85.7052	0.00745358    26351  -2000.0  2000.0 2953.7623  0.050  -51.961521    0.000000  147.500000
Element: 26052 0 9999.  85.6345	0.00768103    26352  -2000.0  2000.0 2978.9432  0.050  -51.961521   -6.000000  147.500000
